Keyword,Volume,KD,Competitor,Their position,Their URL
winter hiking gear list,2400,28,summitline-outdoors.co.uk,4,/winter/winter-daypack-checklist
best crampons for beginners,1300,21,summitline-outdoors.co.uk,3,/winter/crampons-for-beginners
hiking with dogs essentials,1900,18,summitline-outdoors.co.uk,5,/dogs/hiking-with-dogs-complete-guide
dog hiking boots,880,15,summitline-outdoors.co.uk,7,/dogs/dog-hiking-boots-do-they-need-them
wild camping england legal,3600,33,peakpath-hiking.co.uk,2,/camping/wild-camping-england-law
best gps watch for hiking,5400,52,summitline-outdoors.co.uk,6,/navigation/best-gps-watches-for-hiking
how to waterproof hiking boots,1600,24,summitline-outdoors.co.uk,3,/footwear/how-to-waterproof-hiking-boots
what is scrambling,720,12,summitline-outdoors.co.uk,1,/glossary/scrambling
hiking first aid kit list,590,16,peakpath-hiking.co.uk,4,/safety/hiking-first-aid-kit
rucksack size calculator,480,9,summitline-outdoors.co.uk,2,/tools/rucksack-size-calculator
campervan insurance uk,8100,45,peakpath-hiking.co.uk,8,/vanlife/campervan-insurance-uk
